Story;def not;prob no;undecided ;prob yes;def yes
Ein Bankräuber hielt sich nach einem Coup in einem Waldstück versteckt, wo er von der Polizei aufgegriffen wurde. Die Polizisten legten ihm Handschellen an und transportierten ihn in einem Einsatzfahrzeug zum Präsidium. Während der Fahrt suchte der Räuber eine Fluchtmöglichkeit. Als die Polizisten wegen eines Staus einen Moment abgelenkt waren, nutzte er die Gelegenheit und versuchte, den Polizisten zu entkommen.;3;1;;;
In einem Wald lebte einst ein Räuber, der wurde eines Tages von den Landsknechten gefangen genommen. Sie banden ihm die Hände auf den Rücken und fuhren ihn auf einem Karren durchs Dorf, um ihn ihrem Herrn vorzuführen. Da sann er darauf, wie er entkommen könne. Als die Landsknechte einen Moment unachtsam waren, versuchte der Räuber sein Glück und floh.;;;;2;2
Ein Schafzüchter besaß zehn Alpenschafe. Nachdem die Herde tagsüber außerhalb der Ortschaft hinter einem Waldstück geweidet hatte, führte er sie zu einem Bach mit sehr sauberem Wasser. Um zurück zum Stall zu kommen, musste er den Wasserlauf überqueren, doch ein Unwetter hatte die Brücke einstürzen lassen. Der Schafzüchter dachte, auf einem Baumstumpf sitzend, über eine alternative Route zurück zum Stall nach.;;2;1;1;
Ein Auszubildender in einem landwirtschaftlichen Betrieb fuhr mit seinem blauen Traktor auf das Feld, um die Erde zu pflügen. In der Erde sah er plötzlich etwas Metallenes glitzern, nahm einen Spaten und begann, es auszugraben. Er grub sehr lange und förderte eine große Kiste aus dem Erdreich, die aus Edelstahl bestand und weißen Sand enthielt, den er auskippte.;1;2;1;;
Einst lebte in einer kleinen Stadt ein Schneider, der wollte seiner Frau ein Geschenk machen. Er hatte ihr ein Tuch mit einem goldenen Faden bestickt und bestieg damit einen Turm. Von dort rief er seine Frau und warf das Tuch aus, auf dass es langsam zu ihr hinabschwebte. Die Frau blickte hinauf und sah das Tuch durch die Luft gleiten.;;;;3;1
Ein Bauer wollte Korn zur Mühle schaffen. Er nahm seinen Esel, lud drei Säcke auf und zog los. Schon sah er die Mühle, doch ein abgebrochener Ast lag über dem Weg. Da machte er aus einem Seil eine Schlinge und band sie an dem Ast fest. Dann zog und zog der Bauer und langsam rührte sich der Stamm.;1;1;2;;
Ein alleinstehender Förster lebte auf einem Waldgrundstück, wo er ein ruhiges, zurückgezogenes Leben führte. Das Forsthaus stand am Ende eines unbeleuchteten Weges, umgeben von engstehenden Tannen. An einem Abend im Winter kam der Förster gerade von seinem Kontrollgang zurück. Als er daheim ankam, war es schon dunkel. Bevor er die Haustür aufsperrte, klopfte er den Schnee von Mantel und Schuhen.;;1;2;1;
Ein pensionierter Gärtner, dessen Hobby das Handwerk des Töpferns, der Glasbläserkunst und der Keramik war, hatte in seiner Garage eine große Sammlung verschiedener Exemplare von ausgefallenen Blumentöpfen. Die Gefäße füllten an der Längsseite der Garage ein ganzes Regal, das bis zur Decke reichte. Auf dem obersten Regalbrett stand ein gläserner Topf, an den der pensionierte Gärtner nicht mehr heranreichte.;;1;2;1;
Vor langer Zeit lebte ein alter Gärtner, der sammelte nichts als Vasen und Töpfchen, große und kleine, feine und grobe, in allen Farben des Regenbogens. An der Wand seiner Kammer stapelten sich die Gefäße bis unter die Decke und kaum war noch Platz für seine übrigen Habseligkeiten. Ganz zuoberst aber lag ein gläserner Topf, an den der alte Gärtner nicht mehr heranreichte.;1;1;1;1;
In einem tiefen Walde lebten einmal viele Wölfe. In zwei mächtigen Rudeln schlichen sie umher und fraßen, was immer sie zu fassen bekamen. Mit den Jahren wurden es mehr und mehr, bis endlich der Wald zu klein wurde, sie alle zu ernähren. Da begegneten sich die beiden Leitwölfe und kämpften, bis der Schwächere unterlag und aus dem Walde floh. ;1;;2;1;
Einst trug es sich zu, dass ein Geselle durch einen Fluss schwimmen wollte, der war tief und breit. Er ließ sich an den Zweiglein des Ufers in den Strom hinab und trieb zur anderen Seite hinüber. Da erblickte ein Fischer auf seinem Boot den Gesellen und warf ihm eine Leine zu, denn er dachte, dass der Geselle Hilfe brauche.;;;3;1;
Das Vermögen eines Multimillionärs war derart immens, dass er seine große Schmucksammlung in mehreren Ausstellungsräumen unterbringen musste. Bereits mehrfach hatte er die Räumlichkeiten seiner Galerie ausbauen müssen. Als er eines Tages seinen Hund vermisste, erklärte der Multimillionär in einer großen Boulevardzeitung, dass derjenige, der ihm seinen Hund wiederbringt, einen Edelstein seiner Wahl aus dieser Sammlung aussuchen und behalten dürfe. ;;2;1;1;
Vor vielen Jahren lebte ein Kaiser, der besaß so viel Gold, Rubine und Smaragde, dass seine Gemächer nur so überquollen. Sein Schatz füllte viele Säle seines Schlosses. Eines Tages vermisste der Kaiser sein Hündchen.. Da ließ er alsbald im ganzen Lande verkünden, dass derjenige, der es ihm wiederbringe, zur Belohnung den wertvollsten Edelstein bekommen solle, den sein Schatz enthielt.;;1;;1;2
Ein Maurermeister teilte seine Dreizimmerwohnung mit seinen beiden erwachsenen Töchtern, die ihm im Haushalt zur Hand gingen. Die ältere, dunkelhaarige Tochter kommandierte ihren Vater viel herum, während die jüngere, blonde Tochter versuchte, es ihm recht zu machen. Abends kam der Maurer erschöpft von der Arbeit nach Hause. Deshalb legte er sich im Wohnzimmer aufs Sofa, als gerade seine jüngere Tochter hereinkam.;;;4;;
Im Garten eines Ladeninhabers stand ein Birnbaum, der jedes Jahr auch ohne den Einsatz von Kunstdünger reichliche Früchte trug und unter dem mehrere rote Rosen wuchsen. Irgendwann entschloss die jüngste Tochter des Ladeninhabers sich dazu, die Blumen abzuschneiden, und ging zu diesem Zweck in den Garten. Als sie die erste Rose abschnitt, stach sie sich und ließ sie fallen.;;;;3;1
In einer ländlichen Ortschaft lebte ein Mann, der sehr kleinwüchsig war, weshalb die anderen Anwohner sich oft über ihn lustig machten. Der Mann war äußerst vermögend und half altruistisch jedem aus, der in finanziellen Schwierigkeiten steckte. Um für einen Privatkredit bei ihm vorstellig werden zu können, musste man durch eine eiserne, im Schatten hoher Platanen gelegene Gartenpforte hindurchgehen.;;;;2;2
Zwei Brüder machten spätabends einen ausgedehnten Spaziergang durch einen großen Wald. Nachdem sie eine Weile gegangen waren, bekamen sie Hunger. In diesem Moment kamen sie an einem vornehmen Einfamilienhaus vorbei, dessen Eingangstür mit einem Sicherheitsschloss verstärkt war. Da schlug der ältere Junge seinem Bruder vor, an der Tür zu klingeln und nach einem kleinen Imbiss zu fragen. ;;2;2;;
Eine junge Haushälterin hatte ein sehr geringes Nettoeinkommen. Doch sie besaß einige Gegenstände von persönlichem Wert, darunter eine kleine Holzfigur, die sie kürzlich von ihrer Oma geerbt hatte. Im Licht ihrer preiswerten Halogenlampe betrachtete sie nachts im Bett das schöne Figürchen. Da rutschte es ihr aus Versehen aus der Hand, plumpste auf den Boden und rollte unter den Nachttisch.;;;;2;2
Die neue Frau des Hausmeisters hatte viel zu tun und bat deshalb ihre Stieftochter, ihr die Arbeiten im Garten abzunehmen. Als das Mädchen den Rasen mähte, kam ein Rentner vorbei und sagte: „Halte dich aufrecht, Mädchen, nicht so gebückt. Wer hat dir denn die Plackerei verordnet?“ Das nahm die Stieftochter zum Anlass, sich ein kleines Weilchen hinzulegen, woraufhin sie einnickte.;1;1;1;1;
Eine Mutter bewohnte mit ihren Kindern eine Altbauwohnung mit Ofenheizung. An einem kalten Abend im Winter vergaß sie, Holz in den Ofen zu legen. Am Morgen war das Feuer stark heruntergebrannt. Die Mutter wollte das Feuer schnell wieder in Gang bringen. Sie legte Holz in den Ofen und nahm eine Flasche Brennöl, das durch die Kälte klumpig geworden war.;;;4;;
In einem kleinen Häuschen lebte einst eine Mutter mit ihren drei Kindern. Eines Abends im Winter vergaß sie, Holz ins Feuer zu geben. Am Morgen fand sie nur noch eine kleine Glut. Da begann die Mutter rasch, das Feuer wieder anzufachen. Sie legte Holzscheite auf die Glut und nahm ein Fläschchen mit Öl, das in der Kälte hart geworden war.;;2;1;1;
An einem Fluss betrieb ein Schiffer eine kleine, altmodische Fähre, indem er mit einem Ruderboot von Ufer zu Ufer übersetzte. Eines Morgens signalisierte ihm eine Rentnerin am anderen Ufer durch Handzeichen, dass sie den Fluss überqueren wollte. Daraufhin ruderte der Fährmann hinüber. Am anderen Ufer erfasste ihn ein plötzlicher Windstoß, der das Boot schaukelnd auf den Fluss hinaus trieb.;;;4;;
An einem breiten Flusse lebte einst ein Fährmann, der brachte mit seinem Schiffchen die Leute von einem Ufer ans andere. Eines Morgens stand auf der anderen Flussseite eine alte Frau, die rief: „Hol über.“ Da stieg der Fährmann in sein Boot und ruderte hinüber. Als er das andere Ufer erreichte, traf ihn ein heftiger Windstoß, der machte das Boot schwanken.;;1;1;2;
Ein Textilhändler wollte seiner Frau eine romantische Überraschung bereiten. Er hatte ein wertvolles Tuch für sie ausgesucht und sich damit auf ein Hochhaus begeben. Dort oben breitete er das Tuch aus, warf es über die Brüstung und ließ es zu seiner Frau hinabgleiten. Diese war unten in einem Café und sah hinauf, wie das Tuch aus der Höhe zu ihr schwebte.;;1;1;2;
